культура,имя_бога,функция,атрибуты,символ
скандинавская,Хеймдалль,"сын Одина, «светлейший из асов», бог-страж радужного моста, соединяющего небо и землю.",Спарсено из Википедии,⚔️
скандинавская,Хёнир,"упоминается, как вдохнувший душу в людей.",Спарсено из Википедии,⚔️
скандинавская,Хермод,"сын Одина и брат Бальдра, за которым он на Слейпнире ездил в царство мёртвых.",Спарсено из Википедии,⚔️
скандинавская,Эйр,богиня врачевания.,Спарсено из Википедии,⚔️
скандинавская,Хар,предположительно Один.,Спарсено из Википедии,⚔️
скандинавская,Яфнхар,предположительно Локи,Спарсено из Википедии,⚔️
славянская,Белин,"В фольклоре XIX века в регионе Толмина , Словения Симон Рутарь зафиксировал персонажа по имени Белин, которого словенцы называли святым, считая его...",Спарсено из Википедии,🌿
славянская,Берегини,"Мифологические персонажи, известные из древнерусских источников, которым приносили жертвы [ 6 ] [ 7 ] . Точное значение и функции берегинь...",Спарсено из Википедии,🌿
славянская,Вилы,"Женские мифологические существа в фольклоре южных славян , преимущественно наделённые положительными чертами. В то же время они могли мстить человеку...",Спарсено из Википедии,🌿
славянская,Гутдракк,Продолжатель « Славянской хроники » Гельмольда Арнольд Любекский зафиксировал веру в полабское божество по имени Гутдракк: «В те дни (1191 год)...,Спарсено из Википедии,🌿
славянская,Добрат,"Каменная плита, найденная в 1903 году в Дуна-Пентеле ( Интерциза ), изображает рельефную фигуру всадника, повёрнутого вправо. Верхняя часть плиты...",Спарсено из Википедии,🌿
славянская,Троеручица,"Икона Богородицы , известная в сербской православной традиции. На ней Дева Мария изображается с тремя руками, одна из которых серебряная [ 4 ] ....",Спарсено из Википедии,🌿
славянская,Упыри,"Общеславянский фольклорный персонаж, покойник, встающий по ночам из могилы. Он вредит людям и скоту, пьёт их кровь и наносит ущерб хозяйству [ 39 ] ....",Спарсено из Википедии,🌿
славянская,Велес,"Ве́ле́с, Во́лос — божество в славянском языческом пантеоне, «скотий бог».",Спарсено из Википедии,🌿
славянская,Дажьбог,"Дажьбо́г — один из главных богов в восточнославянской мифологии, бог Солнца и его олицетворение, бог плодородия и солнечного света.",Спарсено из Википедии,🌿
славянская,Жива,"Жи́ва — главное женское божество западнославянской мифологии — в земле полабов, согласно хронике Гельмольда XII века. Наряду со старопольской богиней...",Спарсено из Википедии,🌿
славянская,Мокошь,"Мо́кошь — восточнославянская богиня, связанная с влагой. Согласно наиболее распространённой интерпретации, основанной на этимологии её имени, Мокошь...",Спарсено из Википедии,🌿
славянская,Перун,"Перу́н — верховный восточнославянский бог грозы, а также бог войны, покровительствующий воинам и князю, и бог плодородия, насылающий дождь на поля....",Спарсено из Википедии,🌿
славянская,Пизамар,"Пизамар — славянское божество, которому поклонялись на Рюгене. Его статуя была разрушена датчанами в 1168 году вместе со статуями других богов на...",Спарсено из Википедии,🌿
славянская,Подага,"Подага — западнославянское божество, идол которого стоял близ Любека, в городе Плуне. Никаких подробностей Гельмольд не сообщает, поэтому его...",Спарсено из Википедии,🌿
славянская,Поревит,"Пореви́т — пятиликий бог у вендов, почитавшийся в городе Кореница на острове Рюген. Поревит изображался без оружия и был вторым в числе трёх богов,...",Спарсено из Википедии,🌿
славянская,Поренут,"Поренут — божество балтийских славян. Согласно Саксону Грамматику, Поренут входил в число трёх главных богов, почитавшихся в Коренице, наряду с...",Спарсено из Википедии,🌿
славянская,Прове,"Прове — бог в балтийско-славянской мифологии. Почитался как высшее божество в Старгарде (Вагрия). Связан со священными дубами, лесами и рощами, где и...",Спарсено из Википедии,🌿
славянская,Радегаст,"Радегаст — предполагаемый западнославянский бог, названный Гельмольдом в «Славянской хронике» (1167—1168), богом земли бодричей. Также средневековые...",Спарсено из Википедии,🌿
славянская,Ругевит,"Ругевит — семиликий бог войны у балтийских славян, вендов, почитавшийся в храме на острове Рюген.",Спарсено из Википедии,🌿
славянская,Сварог,"Сва́ро́г — славянский бог-кузнец, упомянутый в качестве глоссы в славянском переводе «Хроники» Иоанна Малалы, где был отождествлён древнеболгарским...",Спарсено из Википедии,🌿
славянская,Сварожич,"Сваро́жич — славянский языческий термин, буквально означающий «сын Сварога», славянского бога-кузнеца. Этим термином восточные славяне именовали бога...",Спарсено из Википедии,🌿
славянская,Святовит,"Святовит или Свентовит — бог войны и победы у части западных славян. Упомянут в «Славянской хронике» Гельмольда, подробно описан у Саксона Грамматика...",Спарсено из Википедии,🌿
славянская,Симаргл,"Сима́ргл, Сема́ргл или Сим, Сем и Регл — восточнославянские божества, упомянутые в «Повести временных лет» (ПВЛ) как одно божество — Симаргл, в...",Спарсено из Википедии,🌿
славянская,Стрибог,"Стри́бо́г — восточнославянский бог, широко интерпретирующийся на основе фразы «вот ветры, внуки Стрибога» из древнерусского произведения XII века...",Спарсено из Википедии,🌿
славянская,Триглав,Триглав — имя собственное.Триглав — бог в мифологии балтийских славян Триглав — гора в Словении Триглав — итальянский и югославский миноносец Триглав...,Спарсено из Википедии,🌿
славянская,Хорс,"Хорс — восточнославянский бог; согласно наиболее распространённой интерпретации, иранский бог солнца, заимствованный славянами и отождествлённый ими...",Спарсено из Википедии,🌿
славянская,Черноглав,"Черноглав или Черноглов — славянское божество победы и войны, которому поклонялись на Рюгене, вероятно, в городе Ясмунд, упомянутый вместе со...",Спарсено из Википедии,🌿
славянская,Яровит,"Ярови́т, Геровит, искажённое Веровит или Иеровит — бог войны у балтийских славян.",Спарсено из Википедии,🌿
